dropoff_date,duration_in_minutes,weather_indicator
2013-12-15,27,1
2013-12-22,16.933333333333334,1
2013-12-01,14,1
2014-01-26,16,1
2014-01-19,14,1
2014-02-02,22.466666666666665,1
2014-02-02,19.833333333333332,1
2014-03-16,15.45,1
2014-03-02,17,1
2014-03-23,16.75,1
2014-03-23,21.583333333333332,1
2014-04-27,20,1
2014-04-13,19,1
2014-04-13,32,1
2014-05-25,24,1
2014-05-04,30,0
2014-05-04,20,0
2014-05-25,24.1,1
2014-06-29,22,1
2014-06-29,25,1
2014-06-15,17,1
2014-06-01,28,1
2014-06-01,26,1
2014-07-27,21.183333333333334,0
2014-07-27,20.416666666666668,0
2014-07-06,18,1
2014-07-20,20.3,1
2014-07-06,18.983333333333334,1
2014-08-17,19,0
2014-08-31,19,1
2014-08-17,30.8,0
2014-09-21,23,0
2014-09-07,24.2,1
2014-09-14,26,1
2014-10-19,21,1
2014-10-19,22,1
2014-10-19,29.8,1
2014-10-26,19.466666666666665,1
2014-11-30,17,1
2014-11-09,26,1
2014-11-16,18,0
2014-12-07,22.5,0
2014-12-21,19.633333333333333,1
2014-12-21,19,1
2014-12-07,23,0
2014-12-14,18,1
2014-12-14,21,1
2014-12-14,18,1
2015-02-08,21.9,1
2015-03-01,20.116666666666667,1
2015-03-15,20.25,1
2015-04-12,26.55,1
2015-04-19,24.766666666666666,1
2015-04-05,25.933333333333334,1
2015-04-05,25.966666666666665,1
2015-04-12,33.666666666666664,1
2015-05-24,21.85,1
2015-05-31,27.116666666666667,1
2015-05-03,16.65,1
2015-05-10,20.233333333333334,1
2015-05-10,21,1
2015-05-17,56.083333333333336,0
2015-05-24,18.716666666666665,1
2015-06-28,26.85,0
2015-06-14,18.4,1
2015-07-19,31.916666666666668,1
2015-07-05,17.5,1
2015-07-26,22.416666666666668,1
2015-07-26,19.633333333333333,1
2015-07-19,27.533333333333335,1
2015-07-26,14.316666666666666,1
2015-07-26,15.983333333333333,1
2015-07-26,22.333333333333332,1
2015-08-23,18.45,1
2015-08-02,20.566666666666666,1
2015-08-02,22.583333333333332,1
2015-08-30,20.066666666666666,0
2015-08-16,20.583333333333332,1
2015-08-09,18.383333333333333,1
2015-09-20,20.283333333333335,1
2015-09-20,18.433333333333334,1
2015-09-20,22.333333333333332,1
2015-10-25,24.05,0
2015-10-11,20.133333333333333,1
2015-10-11,23.566666666666666,1
2015-10-25,18.683333333333334,0
2015-10-18,21.966666666666665,1
2015-10-11,26.316666666666666,1
2015-10-25,20.6,0
2015-11-08,20.166666666666668,1
2015-11-01,15.333333333333334,1
2015-12-13,24.45,1
2015-12-06,22.666666666666668,1
2015-12-20,30.033333333333335,1
2015-12-20,24.016666666666666,1
2009-01-04,14.183333333333334,1
2009-02-22,15.483333333333333,0
2009-03-15,16.7,1
2009-03-15,18.233333333333334,1
2009-03-22,17.95,1
2009-04-26,16.883333333333333,1
2009-04-05,18.65,1
2009-04-19,20,1
2009-05-24,18.633333333333333,1
2009-06-28,11.833333333333334,1
2009-06-14,17,0
2009-07-05,14,1
2009-07-05,15,1
2009-07-12,15.033333333333333,0
2009-07-05,21,1
2009-07-26,12.183333333333334,1
2009-07-26,16,1
2009-07-05,15.55,1
2009-07-19,14.416666666666666,1
2009-08-09,17.566666666666666,0
2009-08-09,18,0
2009-08-09,15,0
2009-08-09,17,0
2009-08-23,21.65,0
2009-09-27,46,1
2009-09-20,13,1
2009-09-13,18.383333333333333,1
2009-10-04,20,1
2009-10-25,18.116666666666667,1
2009-10-18,20,0
2009-10-25,14.5,1
2009-10-11,24,1
2009-11-22,18.05,1
2009-11-29,17.05,1
2009-11-15,25,0
2009-12-13,22,1
2009-12-20,25,0
2009-12-27,14,0
2009-12-06,16,1
2009-12-06,17,1
2009-12-06,14,1
2009-12-27,16.133333333333333,0
2009-12-27,13.1,0
2010-01-10,12,1
2010-04-04,19.9,1
2010-04-11,18.55,1
2010-05-09,17,1
